times,counts_P,counts_R
0.5,3.0,12.0
0.5,1.0,9.0
0.5,3.0,10.0
0.5,3.0,6.0
0.5,1.0,9.0
0.5,4.0,12.0
0.5,4.0,7.0
0.5,1.0,6.0
0.5,2.0,7.0
0.5,2.0,12.0
0.5,2.0,10.0
0.5,0.0,3.0
0.5,2.0,6.0
0.5,3.0,8.0
0.5,7.0,14.0
0.5,0.0,5.0
0.5,6.0,8.0
0.5,4.0,8.0
0.5,2.0,9.0
0.5,1.0,7.0
0.5,6.0,16.0
0.5,4.0,11.0
0.5,0.0,5.0
0.5,4.0,10.0
0.5,3.0,5.0
0.5,4.0,10.0
0.5,3.0,5.0
0.5,3.0,4.0
0.5,3.0,5.0
0.5,1.0,6.0
0.5,3.0,6.0
0.5,2.0,9.0
0.5,2.0,8.0
0.5,2.0,7.0
0.5,2.0,6.0
0.5,3.0,9.0
0.5,2.0,6.0
0.5,4.0,12.0
0.5,7.0,11.0
0.5,5.0,9.0
0.5,3.0,10.0
0.5,0.0,8.0
0.5,3.0,7.0
0.5,1.0,10.0
0.5,4.0,9.0
0.5,5.0,6.0
0.5,4.0,7.0
0.5,2.0,8.0
0.5,6.0,11.0
0.5,1.0,8.0
0.5,2.0,5.0
0.5,2.0,8.0
0.5,0.0,5.0
0.5,4.0,11.0
0.5,2.0,5.0
0.5,2.0,12.0
0.5,3.0,12.0
0.5,2.0,2.0
0.5,1.0,7.0
0.5,0.0,9.0
0.5,1.0,6.0
0.5,2.0,5.0
0.5,0.0,11.0
0.5,2.0,6.0
0.5,4.0,11.0
0.5,4.0,6.0
0.5,3.0,12.0
0.5,1.0,4.0
0.5,0.0,6.0
0.5,0.0,4.0
0.5,0.0,9.0
0.5,2.0,8.0
0.5,2.0,4.0
0.5,0.0,4.0
0.5,0.0,4.0
0.5,0.0,7.0
0.5,2.0,13.0
0.5,0.0,9.0
0.5,2.0,5.0
0.5,1.0,7.0
0.5,1.0,10.0
0.5,3.0,9.0
0.5,1.0,11.0
0.5,2.0,11.0
0.5,4.0,11.0
0.5,5.0,7.0
0.5,1.0,9.0
0.5,3.0,7.0
0.5,2.0,10.0
0.5,4.0,7.0
0.5,2.0,9.0
0.5,1.0,7.0
0.5,2.0,8.0
0.5,2.0,8.0
0.5,3.0,8.0
0.5,2.0,6.0
0.5,1.0,7.0
0.5,2.0,3.0
0.5,2.0,7.0
0.5,2.0,6.0
0.5,2.0,7.0
0.5,1.0,5.0
0.5,1.0,7.0
0.5,2.0,10.0
0.5,0.0,7.0
0.5,0.0,2.0
0.5,0.0,5.0
0.5,2.0,7.0
0.5,3.0,5.0
0.5,3.0,7.0
0.5,2.0,11.0
0.5,2.0,6.0
0.5,0.0,8.0
0.5,6.0,10.0
0.5,0.0,7.0
0.5,2.0,4.0
0.5,0.0,2.0
0.5,5.0,4.0
0.5,2.0,4.0
0.5,1.0,9.0
0.5,1.0,9.0
0.5,3.0,9.0
0.5,2.0,5.0
0.5,0.0,6.0
0.5,2.0,8.0
0.5,0.0,7.0
0.5,1.0,6.0
0.5,4.0,9.0
0.5,6.0,11.0
0.5,0.0,5.0
0.5,2.0,7.0
0.5,2.0,6.0
0.5,4.0,14.0
0.5,3.0,11.0
0.5,0.0,9.0
0.5,1.0,4.0
0.5,3.0,10.0
0.5,0.0,4.0
0.5,6.0,5.0
0.5,3.0,8.0
0.5,3.0,9.0
0.5,3.0,11.0
0.5,2.0,4.0
0.5,5.0,7.0
0.5,0.0,6.0
0.5,2.0,4.0
0.5,3.0,7.0
0.5,8.0,12.0
0.5,2.0,9.0
0.5,3.0,8.0
0.5,2.0,6.0
0.5,2.0,6.0
0.5,5.0,12.0
0.5,3.0,6.0
0.5,0.0,6.0
0.5,3.0,6.0
0.5,2.0,11.0
0.5,1.0,9.0
1.0,9.0,17.0
1.0,8.0,14.0
1.0,5.0,13.0
1.0,7.0,12.0
1.0,4.0,15.0
1.0,13.0,14.0
1.0,4.0,3.0
1.0,6.0,10.0
1.0,8.0,10.0
1.0,5.0,10.0
1.0,7.0,18.0
1.0,9.0,19.0
1.0,4.0,6.0
1.0,8.0,10.0
1.0,5.0,21.0
1.0,4.0,11.0
1.0,9.0,16.0
1.0,7.0,9.0
1.0,7.0,15.0
1.0,3.0,6.0
1.0,5.0,8.0
1.0,6.0,19.0
1.0,11.0,12.0
1.0,3.0,13.0
1.0,4.0,7.0
1.0,5.0,11.0
1.0,10.0,9.0
1.0,6.0,14.0
1.0,5.0,13.0
1.0,4.0,5.0
1.0,4.0,11.0
1.0,6.0,14.0
1.0,8.0,12.0
1.0,8.0,17.0
1.0,1.0,8.0
1.0,4.0,12.0
1.0,2.0,8.0
1.0,2.0,12.0
1.0,6.0,6.0
1.0,11.0,17.0
1.0,2.0,5.0
1.0,1.0,9.0
1.0,7.0,13.0
1.0,10.0,12.0
1.0,7.0,14.0
1.0,5.0,9.0
1.0,8.0,16.0
1.0,2.0,13.0
1.0,9.0,11.0
1.0,7.0,12.0
1.0,5.0,7.0
1.0,4.0,15.0
1.0,8.0,12.0
1.0,7.0,12.0
1.0,13.0,15.0
1.0,3.0,4.0
1.0,9.0,14.0
1.0,9.0,14.0
1.0,7.0,14.0
1.0,9.0,9.0
1.0,7.0,16.0
1.0,10.0,7.0
1.0,4.0,11.0
1.0,8.0,7.0
1.0,8.0,10.0
1.0,10.0,7.0
1.0,0.0,12.0
1.0,10.0,14.0
1.0,13.0,20.0
1.0,10.0,12.0
1.0,2.0,10.0
1.0,6.0,12.0
1.0,6.0,14.0
1.0,7.0,15.0
1.0,9.0,8.0
1.0,4.0,15.0
1.0,3.0,17.0
1.0,5.0,8.0
1.0,13.0,20.0
1.0,5.0,20.0
1.0,10.0,8.0
1.0,10.0,13.0
1.0,8.0,13.0
1.0,8.0,8.0
1.0,6.0,5.0
1.0,5.0,13.0
1.0,6.0,7.0
1.0,7.0,9.0
1.0,7.0,11.0
1.0,5.0,5.0
1.0,6.0,15.0
1.0,7.0,14.0
1.0,2.0,10.0
1.0,7.0,15.0
1.0,6.0,20.0
1.0,9.0,14.0
1.0,4.0,12.0
1.0,15.0,13.0
1.0,4.0,9.0
1.0,6.0,9.0
1.0,6.0,11.0
1.0,7.0,12.0
1.0,11.0,16.0
1.0,3.0,6.0
1.0,6.0,14.0
1.0,1.0,9.0
1.0,7.0,4.0
1.0,10.0,9.0
1.0,8.0,15.0
1.0,1.0,4.0
1.0,5.0,10.0
1.0,15.0,9.0
1.0,8.0,12.0
1.0,6.0,11.0
1.0,11.0,12.0
1.0,10.0,7.0
1.0,4.0,8.0
1.0,9.0,10.0
1.0,5.0,16.0
1.0,7.0,7.0
1.0,8.0,16.0
1.0,7.0,10.0
1.0,5.0,5.0
1.0,4.0,10.0
1.0,5.0,9.0
1.0,8.0,9.0
1.0,13.0,19.0
1.0,5.0,7.0
1.0,3.0,12.0
1.0,10.0,12.0
1.0,9.0,6.0
1.0,11.0,18.0
1.0,8.0,15.0
1.0,12.0,5.0
1.0,4.0,12.0
1.0,1.0,10.0
1.0,10.0,13.0
1.0,4.0,11.0
1.0,11.0,20.0
1.0,11.0,13.0
1.0,7.0,15.0
1.0,7.0,13.0
1.0,6.0,11.0
1.0,8.0,15.0
1.0,10.0,12.0
1.0,8.0,9.0
1.0,2.0,12.0
1.0,8.0,15.0
1.0,3.0,10.0
1.0,5.0,13.0
1.0,5.0,14.0
1.0,5.0,7.0
1.0,10.0,7.0
1.0,7.0,8.0
1.0,2.0,5.0
1.0,3.0,7.0
1.0,6.0,13.0
1.0,7.0,11.0
1.0,7.0,11.0
1.0,12.0,12.0
1.0,5.0,9.0
1.0,10.0,12.0
1.0,5.0,15.0
1.0,8.0,16.0
1.0,6.0,8.0
1.0,8.0,13.0
1.0,4.0,7.0
1.0,12.0,11.0
1.0,10.0,16.0
1.0,10.0,13.0
1.0,6.0,7.0
1.0,8.0,13.0
1.0,4.0,5.0
1.0,11.0,14.0
1.0,9.0,11.0
1.0,5.0,8.0
1.0,7.0,22.0
1.0,5.0,11.0
1.0,5.0,10.0
1.0,8.0,14.0
1.0,4.0,7.0
1.0,3.0,11.0
1.0,6.0,15.0
1.0,9.0,18.0
1.0,15.0,12.0
1.0,8.0,7.0
1.0,9.0,7.0
1.0,13.0,11.0
1.0,4.0,9.0
1.0,12.0,15.0
1.0,9.0,10.0
1.0,7.0,10.0
1.0,5.0,14.0
1.0,11.0,9.0
1.0,9.0,14.0
1.0,2.0,12.0
1.0,4.0,2.0
1.0,4.0,15.0
1.0,2.0,10.0
1.0,8.0,11.0
1.0,8.0,15.0
1.0,18.0,21.0
1.0,15.0,17.0
1.0,5.0,13.0
1.0,2.0,8.0
1.0,1.0,12.0
1.0,2.0,13.0
1.0,9.0,9.0
1.0,7.0,12.0
1.0,3.0,14.0
1.0,6.0,11.0
1.0,8.0,12.0
1.0,8.0,14.0
1.0,6.0,14.0
1.0,4.0,13.0
1.0,5.0,11.0
1.0,8.0,10.0
1.0,8.0,13.0
1.0,2.0,8.0
1.0,5.0,2.0
1.0,6.0,5.0
1.0,13.0,13.0
1.0,10.0,11.0
1.0,6.0,17.0
1.0,3.0,23.0
1.0,5.0,10.0
1.0,4.0,10.0
1.0,8.0,13.0
1.0,5.0,15.0
1.0,3.0,17.0
1.0,9.0,9.0
1.0,3.0,9.0
1.0,11.0,8.0
1.0,4.0,9.0
1.0,7.0,12.0
1.0,9.0,12.0
1.0,8.0,20.0
1.0,4.0,16.0
1.0,5.0,10.0
1.0,7.0,14.0
1.0,9.0,9.0
1.0,7.0,9.0
1.0,2.0,14.0
1.0,10.0,18.0
1.0,3.0,9.0
1.0,3.0,3.0
1.0,4.0,13.0
1.0,1.0,2.0
1.0,8.0,18.0
1.0,17.0,24.0
1.0,9.0,15.0
1.0,9.0,9.0
1.0,5.0,5.0
1.0,16.0,10.0
1.0,5.0,4.0
1.0,2.0,8.0
1.0,7.0,8.0
1.0,8.0,16.0
1.0,8.0,14.0
1.0,5.0,12.0
1.0,7.0,9.0
1.0,6.0,11.0
1.0,8.0,13.0
1.0,13.0,16.0
1.0,4.0,11.0
1.0,8.0,15.0
1.0,6.0,10.0
1.0,7.0,14.0
1.0,2.0,2.0
1.0,4.0,10.0
1.0,8.0,12.0
1.0,2.0,13.0
1.0,4.0,5.0
1.0,6.0,15.0
1.0,7.0,16.0
1.0,5.0,10.0
1.0,10.0,15.0
1.0,10.0,13.0
1.0,12.0,11.0
1.0,7.0,12.0
1.0,3.0,6.0
1.0,4.0,16.0
1.0,7.0,15.0
1.0,7.0,16.0
1.0,6.0,12.0
1.0,16.0,18.0
1.0,7.0,16.0
1.0,3.0,10.0
1.0,13.0,21.0
1.0,6.0,16.0
1.0,6.0,9.0
1.0,5.0,16.0
1.0,4.0,12.0
1.0,10.0,8.0
1.0,8.0,15.0
1.0,7.0,14.0
1.0,7.0,6.0
1.0,9.0,10.0
1.0,6.0,10.0
1.0,5.0,15.0
1.5,15.0,14.0
1.5,6.0,7.0
1.5,31.0,15.0
1.5,8.0,4.0
1.5,11.0,16.0
1.5,14.0,10.0
1.5,18.0,23.0
1.5,22.0,21.0
1.5,7.0,13.0
1.5,2.0,2.0
1.5,10.0,9.0
1.5,13.0,9.0
1.5,13.0,16.0
1.5,7.0,6.0
1.5,10.0,13.0
1.5,25.0,21.0
1.5,14.0,9.0
1.5,3.0,1.0
1.5,8.0,15.0
1.5,16.0,15.0
1.5,20.0,11.0
1.5,16.0,14.0
1.5,12.0,14.0
1.5,15.0,15.0
1.5,7.0,4.0
1.5,10.0,19.0
1.5,13.0,16.0
1.5,18.0,20.0
1.5,22.0,10.0
1.5,2.0,10.0
1.5,11.0,14.0
1.5,2.0,5.0
1.5,10.0,11.0
1.5,8.0,9.0
1.5,12.0,6.0
1.5,9.0,3.0
1.5,19.0,15.0
1.5,6.0,12.0
1.5,18.0,11.0
1.5,10.0,12.0
1.5,14.0,8.0
1.5,15.0,12.0
1.5,5.0,4.0
1.5,19.0,17.0
1.5,13.0,17.0
1.5,9.0,19.0
1.5,14.0,12.0
1.5,11.0,12.0
1.5,16.0,4.0
1.5,7.0,3.0
1.5,20.0,19.0
1.5,14.0,14.0
1.5,11.0,13.0
1.5,15.0,7.0
1.5,17.0,17.0
1.5,15.0,25.0
1.5,13.0,10.0
1.5,12.0,10.0
1.5,10.0,4.0
1.5,4.0,7.0
1.5,20.0,14.0
1.5,11.0,13.0
1.5,11.0,15.0
1.5,14.0,14.0
1.5,10.0,9.0
1.5,11.0,5.0
1.5,12.0,21.0
1.5,8.0,8.0
1.5,8.0,14.0
1.5,10.0,16.0
1.5,8.0,4.0
1.5,11.0,17.0
1.5,12.0,5.0
1.5,4.0,4.0
1.5,3.0,4.0
1.5,9.0,6.0
1.5,16.0,21.0
1.5,17.0,5.0
1.5,11.0,4.0
1.5,13.0,11.0
1.5,12.0,20.0
1.5,19.0,14.0
1.5,20.0,15.0
1.5,14.0,16.0
1.5,9.0,7.0
1.5,16.0,17.0
1.5,12.0,12.0
1.5,13.0,8.0
1.5,12.0,11.0
1.5,7.0,12.0
1.5,13.0,11.0
1.5,14.0,15.0
1.5,6.0,5.0
1.5,12.0,14.0
1.5,21.0,27.0
1.5,13.0,8.0
1.5,19.0,15.0
1.5,11.0,2.0
1.5,10.0,10.0
1.5,5.0,2.0
1.5,17.0,5.0
1.5,8.0,4.0
1.5,11.0,16.0
1.5,9.0,3.0
1.5,7.0,10.0
1.5,20.0,13.0
1.5,6.0,14.0
1.5,9.0,15.0
1.5,10.0,15.0
1.5,11.0,15.0
1.5,10.0,17.0
1.5,10.0,9.0
1.5,17.0,21.0
1.5,11.0,10.0
1.5,17.0,9.0
1.5,6.0,17.0
1.5,12.0,18.0
1.5,12.0,8.0
1.5,4.0,8.0
1.5,17.0,16.0
1.5,13.0,11.0
1.5,16.0,18.0
1.5,7.0,12.0
1.5,12.0,12.0
1.5,29.0,14.0
1.5,11.0,15.0
1.5,11.0,11.0
1.5,9.0,17.0
1.5,12.0,17.0
1.5,5.0,10.0
1.5,10.0,15.0
1.5,7.0,6.0
1.5,8.0,13.0
1.5,10.0,9.0
1.5,15.0,14.0
1.5,11.0,14.0
1.5,12.0,13.0
1.5,6.0,3.0
1.5,23.0,15.0
1.5,11.0,4.0
1.5,26.0,18.0
1.5,22.0,11.0
1.5,10.0,16.0
1.5,22.0,10.0
1.5,20.0,14.0
1.5,14.0,17.0
1.5,14.0,11.0
1.5,10.0,5.0
1.5,10.0,11.0
1.5,9.0,13.0
1.5,8.0,14.0
1.5,13.0,14.0
1.5,14.0,11.0
1.5,14.0,15.0
1.5,6.0,9.0
1.5,7.0,3.0
1.5,4.0,6.0
1.5,7.0,2.0
1.5,13.0,10.0
1.5,14.0,2.0
1.5,17.0,23.0
1.5,13.0,16.0
1.5,14.0,19.0
1.5,15.0,11.0
1.5,14.0,14.0
1.5,6.0,8.0
1.5,11.0,20.0
1.5,9.0,11.0
1.5,15.0,14.0
1.5,9.0,12.0
1.5,15.0,18.0
1.5,11.0,10.0
1.5,11.0,8.0
1.5,14.0,20.0
1.5,8.0,11.0
1.5,17.0,6.0
1.5,8.0,5.0
1.5,11.0,12.0
1.5,13.0,24.0
1.5,6.0,8.0
1.5,11.0,8.0
1.5,12.0,6.0
1.5,16.0,14.0
1.5,5.0,3.0
1.5,17.0,15.0
1.5,12.0,17.0
1.5,14.0,9.0
1.5,18.0,10.0
1.5,12.0,13.0
1.5,21.0,11.0
1.5,9.0,14.0
1.5,6.0,12.0
1.5,9.0,13.0
1.5,14.0,19.0
1.5,9.0,14.0
1.5,13.0,19.0
1.5,15.0,13.0
1.5,5.0,9.0
1.5,18.0,17.0
1.5,17.0,14.0
1.5,15.0,14.0
1.5,4.0,7.0
1.5,9.0,16.0
1.5,11.0,4.0
1.5,15.0,12.0
1.5,10.0,11.0
1.5,9.0,12.0
1.5,15.0,16.0
1.5,8.0,1.0
1.5,9.0,20.0
1.5,10.0,11.0
1.5,12.0,4.0
1.5,13.0,15.0
1.5,13.0,21.0
1.5,9.0,18.0
1.5,12.0,18.0
1.5,12.0,15.0
1.5,11.0,16.0
1.5,12.0,14.0
1.5,11.0,13.0
1.5,22.0,10.0
1.5,6.0,7.0
1.5,14.0,23.0
1.5,5.0,2.0
1.5,23.0,10.0
1.5,13.0,6.0
1.5,7.0,12.0
1.5,12.0,7.0
1.5,12.0,12.0
1.5,11.0,8.0
1.5,7.0,12.0
1.5,17.0,13.0
1.5,12.0,13.0
1.5,7.0,0.0
1.5,14.0,19.0
1.5,14.0,15.0
1.5,9.0,8.0
1.5,13.0,13.0
1.5,13.0,14.0
1.5,10.0,14.0
1.5,12.0,8.0
1.5,12.0,14.0
1.5,18.0,11.0
1.5,11.0,4.0
1.5,13.0,10.0
1.5,12.0,12.0
1.5,15.0,14.0
1.5,4.0,12.0
1.5,9.0,13.0
1.5,16.0,9.0
1.5,11.0,20.0
1.5,10.0,4.0
1.5,9.0,15.0
1.5,10.0,4.0
1.5,7.0,3.0
1.5,4.0,6.0
1.5,13.0,11.0
1.5,7.0,6.0
1.5,18.0,20.0
1.5,9.0,7.0
1.5,15.0,18.0
1.5,22.0,20.0
1.5,11.0,15.0
1.5,16.0,14.0
1.5,16.0,9.0
1.5,15.0,9.0
1.5,18.0,17.0
1.5,10.0,13.0
1.5,14.0,4.0
1.5,12.0,7.0
1.5,6.0,6.0
1.5,4.0,2.0
1.5,21.0,15.0
1.5,13.0,10.0
1.5,11.0,12.0
1.5,8.0,11.0
1.5,9.0,15.0
1.5,27.0,15.0
1.5,14.0,7.0
1.5,13.0,12.0
1.5,6.0,15.0
1.5,9.0,15.0
1.5,11.0,6.0
1.5,8.0,10.0
1.5,3.0,9.0
1.5,11.0,6.0
1.5,10.0,14.0
1.5,12.0,13.0
1.5,7.0,11.0
1.5,15.0,9.0
1.5,3.0,3.0
1.5,17.0,14.0
1.5,17.0,17.0
1.5,7.0,10.0
1.5,18.0,16.0
1.5,13.0,13.0
1.5,17.0,15.0
1.5,11.0,9.0
1.5,13.0,6.0
1.5,21.0,15.0
2.0,20.0,8.0
2.0,26.0,23.0
2.0,15.0,3.0
2.0,7.0,3.0
2.0,13.0,1.0
2.0,18.0,16.0
2.0,15.0,11.0
2.0,13.0,5.0
2.0,14.0,6.0
2.0,23.0,20.0
2.0,22.0,10.0
2.0,17.0,3.0
2.0,23.0,14.0
2.0,12.0,10.0
2.0,5.0,1.0
2.0,21.0,22.0
2.0,19.0,15.0
2.0,9.0,6.0
2.0,15.0,14.0
2.0,26.0,15.0
2.0,18.0,10.0
2.0,19.0,15.0
2.0,19.0,6.0
2.0,15.0,19.0
2.0,16.0,8.0
2.0,10.0,1.0
2.0,20.0,12.0
2.0,6.0,1.0
2.0,22.0,8.0
2.0,14.0,9.0
2.0,20.0,9.0
2.0,16.0,12.0
2.0,22.0,5.0
2.0,28.0,11.0
2.0,22.0,12.0
2.0,19.0,8.0
2.0,16.0,16.0
2.0,16.0,12.0
2.0,13.0,20.0
2.0,10.0,8.0
2.0,26.0,23.0
2.0,12.0,13.0
2.0,20.0,9.0
2.0,20.0,10.0
2.0,16.0,6.0
2.0,15.0,8.0
2.0,2.0,2.0
2.0,16.0,12.0
2.0,21.0,6.0
2.0,25.0,12.0
2.0,17.0,14.0
2.0,21.0,16.0
2.0,12.0,1.0
2.0,14.0,2.0
2.0,32.0,15.0
2.0,18.0,3.0
2.0,16.0,2.0
2.0,16.0,9.0
2.0,12.0,7.0
2.0,22.0,10.0
2.0,25.0,10.0
2.0,9.0,3.0
2.0,12.0,10.0
2.0,23.0,6.0
2.0,18.0,13.0
2.0,11.0,9.0
2.0,13.0,6.0
2.0,16.0,13.0
2.0,17.0,7.0
2.0,11.0,4.0
2.0,12.0,2.0
2.0,6.0,6.0
2.0,13.0,6.0
2.0,22.0,3.0
2.0,25.0,13.0
2.0,23.0,10.0
2.0,19.0,11.0
2.0,8.0,10.0
2.0,16.0,10.0
2.0,20.0,5.0
2.0,22.0,12.0
2.0,18.0,3.0
2.0,12.0,8.0
2.0,19.0,13.0
2.0,12.0,6.0
2.0,0.0,0.0
2.0,13.0,8.0
2.0,19.0,13.0
2.0,33.0,17.0
2.0,26.0,10.0
2.0,33.0,25.0
2.0,8.0,6.0
2.0,18.0,14.0
2.0,17.0,4.0
2.0,19.0,6.0
2.0,22.0,11.0
2.0,22.0,8.0
2.0,28.0,13.0
2.0,21.0,3.0
2.0,12.0,5.0
2.0,22.0,24.0
2.0,23.0,8.0
2.0,37.0,20.0
2.0,22.0,14.0
2.0,16.0,7.0
2.0,21.0,18.0
2.0,17.0,13.0
2.0,19.0,19.0
2.0,8.0,4.0
2.0,19.0,18.0
2.0,20.0,16.0
2.0,13.0,11.0
2.0,20.0,15.0
2.0,22.0,7.0
2.0,9.0,3.0
2.0,17.0,8.0
2.0,13.0,19.0
2.0,19.0,19.0
2.0,12.0,2.0
2.0,8.0,8.0
2.0,15.0,22.0
2.0,9.0,3.0
2.0,26.0,22.0
2.0,2.0,0.0
2.0,11.0,3.0
2.0,16.0,19.0
2.0,14.0,14.0
2.0,12.0,4.0
2.0,13.0,9.0
2.0,20.0,13.0
2.0,7.0,3.0
2.0,9.0,2.0
2.0,8.0,3.0
2.0,21.0,9.0
2.0,2.0,3.0
2.0,21.0,19.0
2.0,17.0,5.0
2.0,15.0,4.0
2.0,15.0,6.0
2.0,18.0,10.0
2.0,28.0,18.0
2.0,21.0,10.0
2.0,18.0,9.0
2.0,28.0,17.0
2.0,9.0,3.0
2.0,12.0,5.0
2.0,17.0,10.0
2.0,6.0,5.0
2.0,6.0,1.0
2.0,20.0,10.0
2.0,15.0,3.0
2.0,4.0,13.0
2.0,23.0,19.0
2.0,15.0,21.0
2.0,11.0,8.0
2.0,18.0,17.0
2.0,9.0,3.0
2.0,8.0,3.0
2.0,18.0,11.0
2.0,21.0,18.0
2.0,3.0,2.0
2.0,19.0,13.0
2.0,22.0,16.0
2.0,19.0,7.0
2.0,29.0,23.0
2.0,6.0,3.0
2.0,22.0,25.0
2.0,11.0,11.0
2.0,22.0,12.0
2.0,19.0,20.0
2.0,5.0,14.0
2.0,18.0,8.0
2.0,16.0,18.0
2.0,12.0,10.0
2.0,17.0,12.0
2.0,21.0,19.0
2.0,18.0,12.0
2.0,22.0,14.0
2.0,5.0,2.0
2.0,9.0,4.0
2.0,13.0,6.0
2.0,13.0,4.0
2.0,27.0,19.0
2.0,9.0,4.0
2.0,14.0,8.0
2.0,13.0,9.0
2.0,10.0,4.0
2.0,31.0,24.0
2.0,3.0,1.0
2.0,15.0,11.0
2.0,16.0,4.0
2.0,30.0,11.0
2.0,17.0,15.0
2.0,19.0,7.0
2.0,22.0,13.0
2.0,24.0,21.0
2.0,5.0,2.0
2.0,16.0,18.0
2.0,7.0,4.0
2.0,6.0,1.0
2.0,9.0,12.0
2.0,7.0,3.0
2.0,8.0,4.0
2.0,27.0,11.0
2.0,8.0,19.0
2.0,24.0,24.0
2.0,28.0,20.0
2.0,18.0,3.0
2.0,17.0,6.0
2.0,16.0,15.0
2.0,10.0,3.0
2.0,8.0,2.0
2.0,22.0,6.0
2.0,23.0,9.0
2.0,10.0,2.0
2.0,12.0,16.0
2.0,17.0,16.0
2.0,17.0,5.0
2.0,19.0,22.0
2.0,31.0,11.0
2.0,13.0,11.0
2.0,19.0,9.0
2.0,5.0,1.0
2.0,22.0,18.0
2.0,10.0,1.0
2.0,15.0,5.0
2.0,18.0,10.0
2.0,3.0,1.0
2.0,20.0,15.0
2.0,18.0,18.0
2.0,21.0,9.0
2.0,15.0,4.0
2.0,9.0,1.0
2.0,16.0,22.0
2.0,16.0,7.0
2.0,15.0,12.0
2.0,12.0,5.0
2.0,15.0,17.0
2.0,14.0,12.0
2.0,8.0,1.0
2.0,11.0,4.0
2.0,18.0,17.0
2.0,20.0,12.0
2.0,20.0,10.0
2.0,17.0,3.0
2.0,22.0,6.0
2.0,17.0,13.0
2.0,23.0,5.0
2.0,15.0,3.0
2.0,16.0,11.0
2.0,7.0,2.0
2.0,17.0,5.0
2.0,14.0,3.0
2.0,26.0,16.0
2.0,21.0,10.0
2.0,5.0,12.0
2.0,6.0,0.0
2.0,15.0,12.0
2.0,20.0,11.0
2.0,11.0,5.0
2.0,20.0,8.0
2.0,17.0,8.0
2.0,18.0,4.0
2.0,11.0,12.0
